------------------------------------------------------------------------------------------------------------------
px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.6941	-7.38513	-3.2625	2.162	0.0765408	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	5.09058
8.78137	-7.51902	-3.25901	2.16387	0.0739697	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0.123423
8.82674	-7.6381	-2.64127	2.13722	0.0282809	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	7.02711
8.89782	-7.75582	-2.62839	2.13674	0.0258899	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.138418
8.95818	-7.90215	-2.8528	2.11117	-0.0116116	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	2.39234
9.02486	-8.02096	-2.84391	2.10792	-0.0149316	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0.218699
9.04794	-8.13197	-2.37666	2.07145	-0.0653715	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	6.08168
9.10481	-8.24276	-2.36655	2.06603	-0.0675055	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.10482
9.16453	-8.40291	-2.78501	2.03871	-0.100197	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	3.57746
9.22092	-8.52445	-2.77966	2.03077	-0.103877	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0.244171
9.24868	-8.65204	-2.43841	1.99238	-0.150105	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	4.1255
9.2968	-8.77002	-2.42783	1.98189	-0.15272	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.131916
9.39957	-9.00409	-3.73148	1.97723	-0.146093	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	20.3564
9.46862	-9.1716	-3.72109	1.96897	-0.147049	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0.0428183
9.50588	-9.27346	-2.97874	1.95506	-0.158502	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	7.11383
9.55551	-9.40402	-2.95802	1.94673	-0.158399	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.150495
9.58612	-9.52017	-2.70211	1.92676	-0.175042	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.38289
9.62448	-9.64207	-2.69339	1.91434	-0.17938	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0.290003
9.66885	-9.81171	-3.00591	1.89133	-0.198047	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.81325
9.70761	-9.94821	-2.99216	1.87845	-0.201329	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.202861
9.72486	-10.0694	-2.57893	1.84988	-0.225815	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	2.98035
9.75668	-10.1965	-2.55328	1.83657	-0.22622	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.188247
9.79674	-10.3347	-2.64371	1.82635	-0.225242	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.497841
9.82313	-10.4596	-2.64104	1.81164	-0.229308	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.230176
