------------------------------------------------------------------------------------------------------------------
px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
95.2941	19.6269	2.95013	-0.0509657	0.222394	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	1.29337
95.0397	19.6887	1.50175	-0.26201	-0.000497825	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	10.3803
95.506	19.6908	-0.000677409	-0.0405614	0.115694	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	0.218794
95.5703	19.6605	0.679922	-0.0568849	0.107654	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	1.17094
96.2672	19.2297	0.969159	-0.769466	-0.333704	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	1.5301
96.342	19.1798	1.24917	-0.766252	-0.291933	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	2.17556
97.5229	17.8584	2.69609	-0.926391	-0.224236	97.5286	18.727	97.45	18.506	0.868716	-0.503009	0.23379
97.5181	18.1374	2.36453	-0.712037	-0.114806	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.130449
98.2082	18.3607	-0.451997	-0.369078	0.112188	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.961646
98.2744	18.3005	0.763262	-0.488558	0.00155112	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	1.98228
99.0671	17.4211	1.72921	-1.25947	-0.449152	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	1.62547
99.0875	17.4525	1.80716	-0.899051	-0.0981074	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	1.28997
100.019	16.2626	2.20098	-0.938877	-0.076862	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	1.16343
100.08	16.8621	1.32552	-0.603462	0.124905	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	2.34586
101.193	16.5218	1.39102	-0.168565	0.301067	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.303898
101.17	16.5076	1.10345	-0.178496	0.288531	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.226727
102.384	16.3945	1.70284	0.198908	0.336602	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.0403013
102.293	16.2953	1.21572	0.0283445	0.244961	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	3.94769
103.003	15.4069	0.642833	-1.00825	-0.403929	103.003	15.353	103.119	15.4967	1.11708	-0.508169	2.66285
102.992	15.3871	1.37109	-0.772282	-0.173034	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	3.1926
104.111	14.3014	2.16432	-0.782366	-0.0830178	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	0.334436
104.068	14.7152	1.66429	-0.474197	0.105778	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0.666771
105.534	14.4299	1.93507	0.0144108	0.30255	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	0.332394
105.473	14.356	1.41032	-0.0537124	0.268816	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	2.2105
106.831	14.0634	1.73406	-0.165316	0.0636404	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	0.234871
106.751	14.092	1.53325	-0.143003	0.0733483	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	1.60354
108.085	13.6683	1.60149	-0.266685	-0.034196	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.0771042
108.098	13.6722	1.67826	-0.256716	-0.0242031	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.0297281
109.531	13.5601	1.67107	0.0222715	0.148839	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.189972
109.497	13.4928	1.56373	-0.04063	0.111923	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	1.46513
111.064	12.6181	1.91922	-0.777048	-0.372529	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	1.46769
111.148	12.687	2.28376	-0.642857	-0.24725	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	2.20727
112.896	12.4634	1.37621	-0.147863	0.187985	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	1.73233
112.908	12.5032	1.74474	-0.0964726	0.225419	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	1.59768
114.799	12.5465	2.43347	0.216389	0.27732	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0.0492965
114.796	12.5145	2.00259	0.18136	0.26467	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.888888
116.682	12.1297	2.03361	-0.294697	-0.165483	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	1.18991
116.727	12.1258	2.29679	-0.272171	-0.137568	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0.404188
118.947	11.9862	2.61863	0.0301354	0.128459	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0.481597
118.914	12.0504	2.26546	0.0768278	0.154475	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	1.40373
120.696	12.2925	1.85458	0.218038	0.146465	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.0116128
120.753	12.28	2.20448	0.208444	0.137643	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.648703
123.562	12.8338	3.92443	0.200262	0.0494494	123.568	12.8297	122.95	12.5114	2.29835	0.246599	0.242845
123.432	12.8187	2.66738	0.189681	0.0704133	123.142	12.7694	122.95	12.5114	2.29835	0.246599	3.35226
124.897	12.7822	0.960661	0.00490238	-0.0817473	124.894	12.7743	125.242	12.8125	2.37624	0.369827	0.3327
125.034	12.8227	2.48632	0.06052	-0.0394281	125.376	12.9964	125.242	12.8125	2.37624	0.369827	4.17988
127.85	13.3188	3.64717	0.268173	0.111465	127.853	13.3273	127.609	13.2365	2.44434	0.495787	0.230491
127.758	13.2986	2.79886	0.292145	0.151064	127.506	13.153	127.609	13.2365	2.44434	0.495787	1.81684
